totale_positivi:
1_	Basilicata : 10,
2_	Valle d'Aosta : 10,
3_	Umbria : 18,
4_	Sardegna : 33,
5_	Calabria : 36,
6_	P.A. Trento : 64,
7_	Molise : 65,
8_	P.A. Bolzano : 93,
9_	Friuli Venezia Giulia : 99,
10_	Liguria : 242,
11_	Campania : 273,
12_	Puglia : 353,
13_	Toscana : 463,
14_	Abruzzo : 468,
15_	Marche : 601,
16_	Veneto : 718,
17_	Sicilia : 806,
18_	Lazio : 1129,
19_	Emilia-Romagna : 1405,
20_	Piemonte : 2450,
21_	Lombardia : 15233,
