deceduti:
1_	Molise : 23,
2_	Basilicata : 27,
3_	Umbria : 77,
4_	Calabria : 97,
5_	Sardegna : 132,
6_	Valle d'Aosta : 144,
7_	Sicilia : 280,
8_	P.A. Bolzano : 292,
9_	Friuli Venezia Giulia : 343,
10_	Campania : 430,
11_	Abruzzo : 457,
12_	P.A. Trento : 465,
13_	Puglia : 535,
14_	Lazio : 814,
15_	Marche : 994,
16_	Toscana : 1091,
17_	Liguria : 1529,
18_	Veneto : 1982,
19_	Piemonte : 4018,
20_	Emilia-Romagna : 4209,
21_	Lombardia : 16466,
